"Name","X1_aq.mzML","X13_aq.mzML","X133_aq.mzML","X134_aq.mzML","X135_aq.mzML","X136_aq.mzML","X140_aq.mzML","X142_aq.mzML","X143_aq.mzML","X144_aq.mzML","X146_aq.mzML","X147_aq.mzML","X148_aq.mzML","X150_aq.mzML","X161_aq.mzML","X162_aq.mzML","X164_aq.mzML","X167_aq.mzML","X168_aq.mzML","X169_aq.mzML","X170_aq.mzML","X172_aq.mzML","X173_aq.mzML","X174_aq.mzML","X175_aq.mzML","X176_aq.mzML","X16_aq.mzML","X17_aq.mzML","X18_aq.mzML","X19_aq.mzML","X20_aq.mzML","X21_aq.mzML","X22_aq.mzML","X2_aq.mzML","X23_aq.mzML","X25_aq.mzML","X26_aq.mzML","X27_aq.mzML","X29_aq.mzML","X30_aq.mzML","X31_aq.mzML","X32_aq.mzML","X33_aq.mzML","X3_aq.mzML","X35_aq.mzML","X36_aq.mzML","X40_aq.mzML","X41_aq.mzML","X42_aq.mzML","X43_aq.mzML","X45_aq.mzML","X46_aq.mzML","X5_aq.mzML","X48_aq.mzML","X49_aq.mzML","X151_aq.mzML","X152_aq.mzML","X155_aq.mzML","X156_aq.mzML","X6_aq.mzML","X51_aq.mzML","X52_aq.mzML","X53_aq.mzML","X54_aq.mzML","X56_aq.mzML","X58_aq.mzML","X59_aq.mzML","X60_aq.mzML","X61_aq.mzML","X62_aq.mzML","X7_aq.mzML","X63_aq.mzML","X66_aq.mzML","X68_aq.mzML","X69_aq.mzML","X71_aq.mzML","X73_aq.mzML","X75_aq.mzML","X76_aq.mzML","X77_aq.mzML","X78_aq.mzML","X8_aq.mzML","X80_aq.mzML","X81_aq.mzML","X82_aq.mzML","X83_aq.mzML","X84_aq.mzML","X85_aq.mzML","X86_aq.mzML","X88_aq.mzML","X90_aq.mzML","X10_aq.mzML","X93_aq.mzML","X101_aq.mzML","X103_aq.mzML","X104_aq.mzML","X107_aq.mzML","X109_aq.mzML","X112_aq.mzML","X115_aq.mzML","X11_aq.mzML","X122_aq.mzML","X123_aq.mzML","X124_aq.mzML","X125_aq.mzML","X127_aq.mzML","X128_aq.mzML","X129_aq.mzML","X130_aq.mzML","X131_aq.mzML","X132_aq.mzML"
"Blautia faecicola",0.277,0.067,0.079,0.099,0.014,0,0.155,0.043,0.183,0.047,0.018,0.037,0.389,0.213,0,0.013,0,0.016,0.893,0.109,0.019,0.06,0.703,0.033,0.018,0.012,0.213,0.477,0.204,0.294,0.107,0.05,0.023,0.118,0.261,0.05,0.226,0.295,0.338,0.015,0.103,0.097,0.084,0.024,0.099,0.177,0.1,0.05,0.051,2.225,0.125,0.024,0.219,0.364,0.115,0.341,0.88,0.393,0.461,0.067,0.06,0.023,0.027,0.123,0.132,0,0.013,0.035,0.029,0.17,0.159,0.216,0.015,0.062,0.316,0.545,0.044,0.094,0.041,0.042,0.029,0.067,0.009,0.092,0.122,0.033,0.021,0.048,0.023,0.168,0.071,0.035,1.393,0.008,0.129,0.009,0.133,0.03,0.163,0,0.109,0.047,0,0.051,0,0.02,0.015,0.078,0.056,0.116,0.027
"Blautia hansenii",0.041,0.029,0.022,0.056,0.195,1.632,0.041,0.012,0.018,0.035,0.559,14.636,0.048,0.101,1.425,3.2,0,0.08,0.1,0.036,0.019,0.74,0.103,3.549,0.23,0.101,0.031,1.023,0.117,0.041,0.097,0.036,0.013,0.025,0.021,0.014,0.03,0.039,0.017,0.013,0.017,0.015,0.018,0.036,0.012,0.02,0.01,0.031,0.023,0.197,0.385,0,0.017,0.016,0.034,0.043,0.039,0.041,0.019,0.016,0.033,0.099,0.073,0,0.022,0,0.326,0,0.063,0.014,0.031,0.034,0,0.015,0.031,0.15,0.032,0.031,0.014,0.032,0.024,0.036,0.056,0.029,0.05,0.035,0.32,0.101,0.05,0.03,0.012,0.028,0.036,0.139,0.025,0.056,0.043,0.036,0.063,0.009,0.015,0.014,0,0.015,0.017,0.02,0.391,0.018,0.119,0.347,0.028
"Blautia coccoides",0.013,0.013,0,0.009,0.011,0.046,0.011,0.006,0.007,0.02,0.008,0.043,0.013,0.017,0.025,0,0,0.043,0.01,0.009,0.014,0.05,0.03,0.032,0.013,0.014,0.01,0.026,0.009,0.012,0.02,0.008,0.008,0.011,0.006,0,0.008,0,0.008,0.007,0.01,0.008,0,0.01,0,0.007,0,0.007,0,0.197,0.024,0,0.009,0.011,0.008,0.013,0.012,0.013,0.016,0.007,0.012,0.014,0.024,0,0.015,0,0.268,0,0.011,0.013,0,0.023,0,0.007,0.01,0.044,0,0.008,0.007,0.011,0,0.008,0.018,0,0.015,0.01,0,0.067,0.011,0.007,0.007,0.013,0.022,0.043,0.013,0,0.011,0.014,0.034,0.007,0.008,0,0,0.008,0,0.023,0.018,0.011,0.033,0,0
"Blautia argi",0.007,0.007,0,0.007,0.029,0.14,0.014,0,0,0,0.07,2.147,0,0.016,0.016,0.017,0,0.007,0.029,0.011,0.008,0.011,0.012,0.047,0.018,0.021,0,0.064,0,0.008,0.009,0,0,0.01,0,0,0.012,0.008,0,0,0,0,0,0,0,0,0,0.007,0,0.01,0.033,0,0,0,0,0,0.008,0.008,0,0,0,0.018,0.082,0,0,0,0.013,0,0.014,0,0,0.012,0,0,0.007,0.027,0,0,0,0,0,0,0,0,0.022,0,0.013,0.009,0.045,0,0,0,0.056,0.615,0.013,0.01,0,0,0.021,0.037,0,0,0,0,0,0,0.036,0,0,0.021,0
"[Eubacterium] rectale",7.541,5.235,2.197,3.654,4.514,0.047,1.58,0.076,0.999,1.302,1.337,0.01,6.302,3.739,0.097,0,0,0.051,6.529,3.183,2.608,1.295,7.972,0.435,0.311,0.123,6.143,2.169,6.02,9.829,0.029,1.895,0.19,0.148,0.322,0.159,0.559,0.056,0.205,1.314,4.996,0.022,0.675,2.299,5.585,1.641,1.677,0.203,0.411,0.021,0.034,1.217,4.254,2.322,3.63,0.886,1.288,1.14,0.418,1.756,1.282,3.149,2.694,1.461,0.04,0.419,0.013,0.692,8.253,0.089,0.958,0.903,0.137,0.486,0.455,7.411,0.856,0.886,0.922,0.466,0.035,1.196,9.098,8.553,0.105,4.47,0.119,1.207,2.128,0.397,0.61,6.057,1.287,0,6.938,0.067,0.082,4.682,4.542,0.112,2.585,0.573,0.019,0.506,0,0.113,0.012,4.62,0.017,0.325,7.181
"Lachnospiraceae bacterium",0.14,0.108,0.123,0.621,0.064,0.068,0.156,0.168,0.241,0.068,0.054,0.168,0.071,0.164,0.097,0.038,0.034,0.079,0.037,0.084,0.046,0.058,0.065,0.05,0.223,0.072,0.16,0.082,0.661,0.186,0.242,0.841,0.256,0.155,0.823,0.456,0.704,0.536,0.776,0.13,0.078,0.698,0.368,0.089,0.226,0.177,0.444,0.111,0.227,0.087,0.133,0.035,0.225,0.204,0.062,0.248,0.484,0.143,0.077,0.035,0.934,0.054,0.092,0.1,0.459,0,0.089,0.078,0.072,0.052,0.045,0.25,0.016,0.377,0.98,0.068,0.349,0.097,0.079,0.169,2.108,0.077,0.028,0.051,0.066,0.144,0.067,0.117,0.108,0.045,0.119,0.099,0.058,0.163,0.095,0.079,0.791,0.103,0.111,0.046,0.717,0.306,0.016,0.045,0.03,0.105,0.119,0.101,0.128,0.013,0.055
"Lachnospiraceae bacterium UBA7598",0.113,0,0,0.01,0,0,0,0.43,0.11,0.111,0.027,0,0.242,0,0,0,0,0.045,0.065,0.279,0.103,0,0,0.036,0.17,0.019,0.162,0.064,0.093,0.207,0.28,0.112,0,0.015,0.085,0.084,0.206,0.091,0.021,0,0.09,0,0.173,0.339,0.164,0.015,0.138,0.018,0.015,0.118,0.029,0.029,0.008,0.242,0.049,0.01,0.046,0.163,0,0.025,0.178,0,0.294,0.243,0.114,0.048,0,0.107,0.007,0,0.062,0.024,0.059,0.049,0.015,0.03,0.225,0,0.553,0.007,0.016,0.041,0,0.027,0.163,0.017,0.178,0,0.241,0.125,0.154,0.035,0.009,0,0.144,0,0.044,0.38,0.014,0,0.034,0.214,0,0.068,0,0.268,0,0.022,0.052,0,0.03
"Lachnospiraceae bacterium GAM79",0.105,0.143,0.059,0.108,0.133,0.015,0.584,3.012,2.775,0.161,0.022,0,0.025,0.019,0.747,0,0,0.276,0.025,0.054,0.016,0.447,0.09,0.277,0.095,0.023,0.339,0.032,0.412,0.668,0.043,0.804,0.114,0.253,0.171,4.086,0.726,0.873,0.538,0.012,0.674,0.19,0.091,0.188,0.184,0.092,0.483,1.924,0.057,0.02,0.907,0.022,1.909,0.61,0.223,0.176,0.027,2.18,0.672,0.198,0.242,0.075,0.922,0.057,0.266,0,0.069,0.187,0.181,0.029,0.028,0.307,0.017,0.064,0.242,0.08,0.201,0.995,0.14,0.04,0.421,1.113,0,0.044,0.113,1.851,0.02,2.531,1.357,0.108,1.171,0.477,0.024,0,0.091,0,1.829,0.113,1.182,0.02,1.085,1.782,0,0.012,0,0.224,2.706,0.097,0.042,0.01,0.085
"Lachnospiraceae bacterium UBA638",0.032,0.007,0.008,0.008,0.006,0,0.009,0,0.012,0,0,0,0.008,0,0,0,0.013,0.006,0,0.006,0.008,0,0,0,0,0,0.011,0.008,0.016,0.011,0.006,0.007,0,0.007,0,0,0.015,0.009,0,0,0,0,0.008,0.006,0.012,0.01,0,0.008,0,0,0,0,0.009,0,0.011,0.007,0.012,0.024,0,0.021,0,0.01,0.011,0,0,0,0,0.007,0.027,0.013,0,0.017,0,0,0.008,0.006,0.007,0,0,0,0.012,0.008,0.006,0,0.01,0.014,0,0,0,0,0,0.007,0.007,0,0.011,0,0.014,0,0.007,0,0.009,0,0,0,0,0.007,0,0.007,0,0.048,0.012
"Lachnospiraceae bacterium AM48-27BH",0.037,0.019,0.107,0.132,0.039,0.019,0.053,0.124,0.151,0.017,0.024,0.049,0.068,0.064,0.051,0,0,0.025,0.01,0.071,0.019,0.028,0.132,0.018,0.019,0,0.047,0.063,0.081,0.073,0.02,0.084,0.021,0.061,0.1,0.076,0.053,0.075,0.073,0.011,0.067,0.04,0.089,0.096,0.102,0.057,0.081,0.111,0.088,0.038,0.046,0.086,0.02,0.132,0.07,0.094,0.042,0.101,0.03,0.132,0.153,0.019,0.035,0.048,0.094,0,0.011,0.065,0.032,0.137,0.047,0.069,0.022,0.044,0.025,0.019,0.126,0.116,0.057,0.019,0.042,0.042,0.059,0.02,0.136,0.028,0.032,0.039,0.025,0.023,0.066,0.064,0.046,0.015,0.062,0.008,0.095,0.025,0.05,0.014,0.064,0.048,0,0.044,0.031,0.063,0.055,0.082,0.024,0.013,0.023
"Lachnospiraceae bacterium OF09-6",0.024,0.033,0.05,0.031,0.013,0.015,0.02,0.011,0.063,0.01,0.012,0.011,0.012,0.013,0.007,0,0,0.016,0.017,0.01,0.032,0.007,0.017,0.02,0.012,0,0.016,0.018,0.017,0.034,0.018,0.082,0.015,0.012,0.194,0.035,0.018,0.048,0.062,0.008,0.01,0.036,0.014,0.015,0.025,0.052,0.013,0.059,0.009,0.015,0.019,0.017,0.023,0.029,0.013,0.131,0.032,0.032,0.014,0,0.029,0.011,0.025,0.022,0.015,0,0.035,0.009,0.029,0.01,0.033,0.194,0,0.011,0.198,0.037,0.063,0.013,0.037,0.023,0.017,0.013,0,0.022,0.012,0.025,0.031,0.008,0.011,0.091,0.012,0.015,0.022,0.006,0.027,0,0.1,0.021,0.014,0,0.033,0.016,0,0.009,0,0.012,0.014,0.058,0.012,0,0.012
"Lachnospiraceae bacterium UBA1683",0.014,0.014,0,0.014,0.007,0.009,0.008,0.021,0,0,0,0.029,0.01,0.017,0.007,0,0,0.007,0.006,0.01,0.009,0,0.015,0.016,0,0.008,0.01,0.012,0.008,0.009,0.007,0.006,0,0.006,0,0,0.01,0,0,0,0.009,0,0,0.006,0,0.007,0,0.01,0,0.008,0.014,0,0,0.007,0,0.01,0.013,0.007,0,0,0.009,0.008,0.019,0,0,0,0.012,0,0.007,0,0,0,0,0,0.009,0.008,0,0.009,0,0.008,0.008,0,0,0,0.006,0.007,0.008,0.007,0.008,0,0,0.007,0.01,0.069,0.012,0,0.007,0.011,0.007,0,0.008,0,0,0,0,0,0.009,0.008,0,0,0.011
"Lachnospiraceae bacterium OM04-12BH",0.016,0.026,0.018,0.013,0.011,0.014,0.019,0.034,0.268,0.012,0,0.008,0.014,0.011,0.007,0,0,0.055,0.009,0.024,0.022,0.011,0.04,0.025,0.016,0,0.023,0.062,0.031,0.037,0.012,0.072,0.012,0.008,0.063,0.194,0.07,0.033,0.146,0,0.021,0.173,0.045,0.052,0.062,0.262,0.048,0.04,0.334,0.011,0.036,0,0.049,0.052,0.015,0.059,0.015,0.032,0.011,0.007,0.053,0.017,0.062,0.018,0.151,0,0.033,0.008,0.032,0,0,0.032,0.008,0.153,0.033,0.015,0.016,0.054,0.048,0.007,0.039,0.018,0.012,0.039,0.039,0.021,0.03,0.049,0.044,0.015,0.799,0.028,0,0,0.039,0,0.054,0.027,0.027,0,0.184,0.028,0,0.02,0,0.033,0.02,0.018,0.012,0,0.015
"Lachnospiraceae bacterium UBA6403",0.009,0.032,0.11,0.118,0,0,0,0.079,0.053,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0.021,0.011,0,0.079,0,0,0.016,0,0.069,0,0.009,0,0,0.01,0,0.032,0,0,0,0,0.089,0,0,0,0.043,0,0,0,0.033,0,0,0.018,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.031,0.006,0.043,0,0,0.159,0,0,0,0,0,0.008,0,0.007,0,0,0.039,0.006,0.008,0,0.007,0,0,0,0,0,0.071,0.029,0,0,0,0,0,0.05,0,0,0
"Lachnospiraceae bacterium UBA4711",0.01,0.012,0.022,0,0,0,0.011,0.011,0,0.018,0,0,0,0,0,0,0,0,0,0.032,0,0,0.011,0,0,0,0.061,0,0.04,0.011,0,0.009,0.013,0,0.064,0.02,0.089,0.132,0.014,0.02,0.008,0.032,0.14,0,0.017,0.047,0.028,0.058,0,0,0.028,0,0.105,0.031,0,0,0.013,0.007,0.01,0.01,0,0,0.009,0.02,0,0,0,0,0,0,0,0,0,0.069,0.018,0,0.008,0,0.018,0,0.025,0,0,0,0,0.008,0,0,0,0,0.018,0.029,0,0,0,0,0,0.009,0.008,0,0.046,0.147,0,0,0,0,0,0.018,0,0,0.008
"Lachnospiraceae bacterium OF09-33XD",0.006,0.017,0.006,0.02,0.016,0.107,0.021,0.013,0.007,0.007,0,0.036,0.021,0.022,0.009,0,0,0.15,0,0.018,0.011,0.016,0.014,0.009,0,0,0.008,0.047,0.021,0,0.098,0.018,0.071,0.029,0.019,0.007,0.023,0.011,0.011,0.01,0.016,0.039,0.014,0.027,0,0,0.015,0.006,0.011,0.035,0.038,0,0.013,0.011,0,0.013,0.059,0.014,0.047,0.022,0.016,0,0,0,0.012,0,0.007,0,0,0,0,0.044,0,0.023,0.103,0.006,0.02,0,0.01,0.017,0.042,0.013,0.024,0.018,0.006,0,0,0.016,0.021,0,0.009,0.021,0.011,0.022,0.007,0,0.049,0.013,0.021,0,0.014,0.009,0,0,0,0.02,0.064,0.016,0.04,0,0.027
"Dorea longicatena",3.678,3.694,1.081,1.64,0.061,0.029,1.326,0.864,0.613,2.487,0.458,0.031,1.686,0.091,0.038,0.01,0,2.234,1.027,1.92,0.038,0.603,2.257,3.957,0.048,0.075,1.622,4.145,1.742,1.456,2.97,0.89,1.323,2.177,1.456,0.839,1.949,1.561,2.998,0.712,1.158,2.504,1.128,0.514,1.32,2.057,1.252,1.126,1.112,0.766,0.063,0.692,1.424,0.775,1.686,4.254,4.973,1.912,2.041,1.145,0.869,0.888,1.227,1.375,0.554,0.193,0.041,0.814,1.287,2.595,2.202,0.369,0.344,1.148,5.392,2.65,0.547,0.426,1.126,2.975,0.587,1.068,0.032,0.416,1.874,0.476,0.06,0.518,1.193,1.995,0.686,1.983,1.213,0.039,0.17,0.025,0.656,1.728,1.627,0.061,0.9,0.699,0.01,1.299,0.945,1.737,0.068,1.292,1.129,0.25,1.121
"Dorea formicigenerans",1.111,0.772,0.328,0.246,0.012,0.026,0.388,0.147,0.249,0.327,0.01,0.014,0.58,0.014,0.144,0,0,0.884,0.59,0.312,0.011,0.498,0.672,0.184,0.014,0.015,0.304,0.977,0.674,0.537,1.447,0.319,1.184,0.189,0.429,0.192,1.193,0.618,0.399,0.102,0.363,0.589,0.333,0.346,0.686,0.503,0.478,0.207,0.483,0.137,1.427,0.186,0.435,0.162,0.49,0.776,2.028,0.515,0.354,0.42,0.289,0.264,0.239,0.522,0.198,0.098,0.867,0.719,0.451,0.861,0.573,0.935,0.158,0.498,0.895,1.482,0.54,0.42,0.406,1.175,0.289,0.526,0.01,0.379,0.489,0.023,0.007,0.013,0.313,0.382,0.28,0.957,0.472,0.046,0.351,0.009,0.304,0.716,0.645,0.022,0.232,0.373,0,0.159,0.009,0.767,0.012,0.29,0.024,0.078,0.32
